id,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,row_id
9029199,215583000,2023-05-24T22:00:00Z,26.48967,-79.39617,10.2,182.7,184,COBIA LNG,IMO9869306,9HA5192,84,0,299,46,9.4,84,A,1
9032593,366954420,2023-05-24T22:00:00Z,27.77639,-82.6303,0,294.9,294,PROVINCETOWN III,IMO9329394,WDB8185,60,0,30,9,1.9,60,A,1
9030460,367181550,2023-05-24T22:00:00Z,29.8545,-89.98148,0,298.2,511,BELLE CHASSE II,NA,WDD7069,60,0,41,16,3.73,60,A,1
9036191,368045410,2023-05-24T22:00:00Z,27.84124,-97.06945,4.9,15.5,511,JOSEPH F WEBER,IMO1012865430,WDK3453,60,0,46,16,3.3,60,A,1
9030257,563020500,2023-05-24T22:00:00Z,28.82655,-89.43528,14.4,207.9,206,MERCURY SKY,IMO9796949,9V5148,70,0,21.05,21.05,21.05,70,A,1
9029417,366957490,2023-05-24T22:00:01Z,29.2854,-89.3602,0,315.3,511,WILLIAM H JOHNSON,NA,WDB8368,60,15,15,5,1.9,50,A,1
9030587,367134000,2023-05-24T22:00:01Z,26.07388,-79.97035,3.9,180.6,184,OVERSEAS LOS ANGELES,IMO9353539,WABS,80,0,183,32,12.2,80,A,1
9030111,367651670,2023-05-24T22:00:01Z,29.25979,-89.35742,0,360,511,BROOKE ELIZABETH,NA,WDH7788,60,15,14,2.49,1.61,0,A,1
9033545,367761740,2023-05-24T22:00:01Z,29.80445,-93.95542,0,360,511,GENERAL PATTON,NA,WDJ2788,70,15,21.05,21.05,21.05,33,A,1
9033249,477137600,2023-05-24T22:00:01Z,26.30728,-79.26286,12.6,225.5,225,ORIENTAL JUBILEE,IMO9763813,VRPP5,80,0,225,40,10.97,80,A,1
9029195,563142600,2023-05-24T22:00:01Z,28.90024,-93.96424,12.6,305.1,306,GRAMPUS ACE,IMO9584190,9V7576,70,0,180,28,8.7,70,A,1
9031496,248392000,2023-05-24T22:00:02Z,27.03805,-79.44855,12.6,355.7,358,MSC SEASIDE,IMO9745366,9HA4638,60,0,323,44,8.5,69,A,1
9030433,255805583,2023-05-24T22:00:02Z,25.54816,-79.560059999999993,8.4,187.1,187,CHEM SEA 1,IMO9731729,CQTD,80,0,160,25,6.8,80,A,1
9030360,367106880,2023-05-24T22:00:02Z,29.90115,-90.08112,0,231.9,342,NEW ROADS,IMO7527980,WDC9803,60,15,45,20,1.5,60,A,1
9029096,367345040,2023-05-24T22:00:02Z,29.6282,-94.95548,0,360,511,SUN FIGHTER,NA,WYB6722,60,8,18,5,1.98,5,A,1
9030008,367458840,2023-05-24T22:00:02Z,25.76417,-80.14437,0,178.8,177,OSPREY,NA,WCZ9995,60,0,50,12,0,60,A,1
